# Parameters:,Wind direction:,3°,Angle of attack:,0°,Roll rate:,0 °/s,Active stages:,主发动机,Flight configuration:,[141G78-15A-10]
# 121 data points written for 10 variables.
# 马赫,压心 (火箭) (cm),CNα (火箭) (​),压力 CD (火箭) (​),基准 CD (火箭) (​),摩擦 CD (火箭) (​),Per instance CD (头锥) (​),总 CD (火箭) (​),滚转力系数 (梯形稳定翼) (​),滚转阻尼系数 (梯形稳定翼) (​),总 Cl (梯形稳定翼) (​)
0,102.024,5.42,0.078,0.12,1.169,0.073,1.367,0,0,0
0.025,102.025,5.42,0.078,0.12,0.35,0.024,0.549,0,0,0
0.05,102.029,5.42,0.078,0.12,0.327,0.022,0.526,0,0,0
0.075,102.035,5.421,0.078,0.121,0.327,0.022,0.526,0,0,0
0.1,102.044,5.422,0.078,0.121,0.327,0.022,0.526,0,0,0
0.125,102.055,5.423,0.079,0.122,0.326,0.022,0.527,0,0,0
0.15,102.069,5.424,0.079,0.123,0.326,0.022,0.528,0,0,0
0.175,102.085,5.426,0.079,0.124,0.326,0.022,0.529,0,0,0
0.2,102.104,5.428,0.079,0.125,0.326,0.022,0.53,0,0,0
0.225,102.125,5.43,0.08,0.127,0.325,0.022,0.532,0,0,0
0.25,102.149,5.432,0.08,0.128,0.325,0.022,0.533,0,0,0
0.275,102.175,5.435,0.08,0.13,0.325,0.022,0.535,0,0,0
0.3,102.204,5.437,0.081,0.132,0.324,0.022,0.537,0,0,0
0.325,102.236,5.441,0.081,0.134,0.324,0.022,0.538,0,0,0
0.35,102.27,5.444,0.082,0.136,0.323,0.022,0.541,0,0,0
0.375,102.307,5.447,0.082,0.138,0.322,0.022,0.543,0,0,0
0.4,102.347,5.451,0.083,0.141,0.322,0.022,0.545,0,0,0
0.425,102.389,5.456,0.083,0.143,0.321,0.022,0.548,0,0,0
0.45,102.434,5.46,0.084,0.146,0.32,0.022,0.551,0,0,0
0.475,102.481,5.465,0.085,0.149,0.32,0.022,0.554,0,0,0
0.5,102.532,5.47,0.085,0.153,0.319,0.022,0.557,0,0,0
0.525,102.587,5.475,0.086,0.156,0.318,0.022,0.56,0,0,0
0.55,102.649,5.481,0.087,0.159,0.317,0.022,0.563,0,0,0
0.575,102.718,5.486,0.088,0.163,0.316,0.022,0.567,0,0,0
0.6,102.793,5.493,0.089,0.167,0.315,0.022,0.571,0,0,0
0.625,102.873,5.499,0.09,0.171,0.314,0.022,0.575,0,0,0
0.65,102.959,5.506,0.09,0.175,0.313,0.022,0.579,0,0,0
0.675,103.051,5.513,0.091,0.179,0.312,0.021,0.583,0,0,0
0.7,103.147,5.52,0.092,0.184,0.311,0.021,0.587,0,0,0
0.725,103.249,5.528,0.094,0.188,0.31,0.021,0.592,0,0,0
0.75,103.355,5.536,0.095,0.193,0.309,0.021,0.596,0,0,0
0.775,103.466,5.545,0.096,0.198,0.307,0.021,0.601,0,0,0
0.8,103.581,5.554,0.097,0.203,0.306,0.021,0.606,0,0,0
0.825,103.701,5.563,0.098,0.208,0.305,0.021,0.611,0,0,0
0.85,103.824,5.572,0.099,0.214,0.303,0.021,0.617,0,0,0
0.875,103.952,5.582,0.101,0.22,0.302,0.021,0.622,0,0,0
0.9,104.083,5.593,0.102,0.225,0.301,0.021,0.628,0,0,0
0.925,104.222,5.604,0.104,0.231,0.297,0.021,0.631,0,0,0
0.95,104.383,5.618,0.105,0.237,0.293,0.02,0.635,0,0,0
0.975,104.579,5.635,0.107,0.244,0.289,0.02,0.639,0,0,0
1,104.82,5.657,0.108,0.25,0.285,0.02,0.643,0,0,0
1.025,105.112,5.685,0.143,0.244,0.281,0.054,0.668,0,0,0
1.05,105.457,5.718,0.166,0.238,0.277,0.076,0.681,0,0,0
1.075,105.856,5.758,0.179,0.233,0.273,0.089,0.685,0,0,0
1.1,106.304,5.805,0.184,0.227,0.269,0.093,0.68,0,0,0
1.125,106.794,5.856,0.181,0.222,0.266,0.089,0.67,0,0,0
1.15,107.319,5.913,0.173,0.217,0.264,0.08,0.655,0,0,0
1.175,107.866,5.973,0.162,0.213,0.262,0.068,0.637,0,0,0
1.2,108.424,6.036,0.149,0.208,0.26,0.055,0.617,0,0,0
1.225,108.978,6.1,0.136,0.204,0.257,0.041,0.597,0,0,0
1.25,109.513,6.163,0.124,0.2,0.255,0.029,0.58,0,0,0
1.275,110.012,6.223,0.116,0.196,0.253,0.02,0.565,0,0,0
1.3,110.46,6.278,0.113,0.192,0.251,0.017,0.556,0,0,0
1.325,110.837,6.324,0.114,0.189,0.248,0.017,0.551,0,0,0
1.35,111.126,6.359,0.114,0.185,0.246,0.016,0.545,0,0,0
1.375,111.304,6.38,0.114,0.182,0.244,0.016,0.54,0,0,0
1.4,111.35,6.383,0.114,0.179,0.242,0.016,0.535,0,0,0
1.425,111.235,6.365,0.115,0.175,0.239,0.016,0.53,0,0,0
1.45,110.927,6.322,0.115,0.172,0.237,0.016,0.525,0,0,0
1.475,110.387,6.25,0.115,0.169,0.235,0.015,0.52,0,0,0
1.5,109.562,6.144,0.116,0.167,0.233,0.015,0.515,0,0,0
1.525,108.686,6.035,0.116,0.164,0.231,0.015,0.51,0,0,0
1.55,107.775,5.927,0.116,0.161,0.228,0.015,0.506,0,0,0
1.575,106.83,5.818,0.116,0.159,0.226,0.015,0.501,0,0,0
1.6,105.847,5.709,0.117,0.156,0.224,0.015,0.497,0,0,0
1.625,105.054,5.625,0.117,0.154,0.222,0.014,0.492,0,0,0
1.65,104.237,5.54,0.117,0.152,0.219,0.014,0.488,0,0,0
1.675,103.393,5.455,0.117,0.149,0.217,0.014,0.484,0,0,0
1.7,102.521,5.37,0.117,0.147,0.215,0.014,0.48,0,0,0
1.725,101.797,5.301,0.118,0.145,0.213,0.014,0.475,0,0,0
1.75,101.053,5.233,0.118,0.143,0.211,0.014,0.471,0,0,0
1.775,100.289,5.164,0.118,0.141,0.209,0.013,0.467,0,0,0
1.8,99.504,5.096,0.118,0.139,0.207,0.013,0.464,0,0,0
1.825,98.837,5.039,0.118,0.137,0.204,0.013,0.46,0,0,0
1.85,98.154,4.982,0.118,0.135,0.202,0.013,0.456,0,0,0
1.875,97.455,4.925,0.119,0.133,0.2,0.013,0.452,0,0,0
1.9,96.74,4.868,0.119,0.132,0.198,0.013,0.448,0,0,0
1.925,96.122,4.82,0.119,0.13,0.196,0.013,0.445,0,0,0
1.95,95.491,4.771,0.119,0.128,0.194,0.012,0.441,0,0,0
1.975,94.847,4.723,0.119,0.127,0.192,0.012,0.438,0,0,0
2,94.189,4.675,0.119,0.125,0.19,0.012,0.434,0,0,0
2.025,93.613,4.633,0.119,0.123,0.188,0.012,0.431,0,0,0
2.05,93.025,4.592,0.119,0.122,0.186,0.012,0.427,0,0,0
2.075,92.427,4.55,0.119,0.12,0.184,0.012,0.424,0,0,0
2.1,91.816,4.509,0.12,0.119,0.182,0.012,0.421,0,0,0
2.125,91.276,4.473,0.12,0.118,0.18,0.012,0.418,0,0,0
2.15,90.726,4.437,0.12,0.116,0.178,0.011,0.414,0,0,0
2.175,90.166,4.4,0.12,0.115,0.177,0.011,0.411,0,0,0
2.2,89.597,4.364,0.12,0.114,0.175,0.011,0.408,0,0,0
2.225,89.088,4.332,0.12,0.112,0.173,0.011,0.405,0,0,0
2.25,88.571,4.301,0.12,0.111,0.171,0.011,0.402,0,0,0
2.275,88.045,4.269,0.12,0.11,0.169,0.011,0.399,0,0,0
2.3,87.512,4.237,0.12,0.109,0.168,0.011,0.396,0,0,0
2.325,87.031,4.208,0.12,0.108,0.166,0.011,0.393,0,0,0
2.35,86.544,4.18,0.12,0.106,0.164,0.011,0.391,0,0,0
2.375,86.049,4.152,0.12,0.105,0.162,0.01,0.388,0,0,0
2.4,85.547,4.124,0.12,0.104,0.161,0.01,0.385,0,0,0
2.425,85.092,4.098,0.12,0.103,0.159,0.01,0.382,0,0,0
2.45,84.631,4.073,0.12,0.102,0.157,0.01,0.38,0,0,0
2.475,84.164,4.047,0.12,0.101,0.156,0.01,0.377,0,0,0
2.5,83.691,4.022,0.121,0.1,0.154,0.01,0.374,0,0,0
2.525,83.259,3.999,0.121,0.099,0.152,0.01,0.372,0,0,0
2.55,82.822,3.976,0.121,0.098,0.151,0.01,0.369,0,0,0
2.575,82.38,3.953,0.121,0.097,0.149,0.01,0.367,0,0,0
2.6,81.932,3.93,0.121,0.096,0.148,0.009,0.364,0,0,0
2.625,81.521,3.91,0.121,0.095,0.146,0.009,0.362,0,0,0
2.65,81.106,3.889,0.121,0.094,0.144,0.009,0.36,0,0,0
2.675,80.686,3.868,0.121,0.093,0.143,0.009,0.357,0,0,0
2.7,80.262,3.847,0.121,0.093,0.141,0.009,0.355,0,0,0
2.725,79.871,3.828,0.121,0.092,0.14,0.009,0.353,0,0,0
2.75,79.475,3.809,0.121,0.091,0.138,0.009,0.35,0,0,0
2.775,79.076,3.79,0.121,0.09,0.137,0.009,0.348,0,0,0
2.8,78.673,3.771,0.121,0.089,0.136,0.009,0.346,0,0,0
2.825,78.3,3.754,0.121,0.088,0.134,0.009,0.344,0,0,0
2.85,77.923,3.737,0.121,0.088,0.133,0.009,0.342,0,0,0
2.875,77.542,3.719,0.121,0.087,0.131,0.008,0.339,0,0,0
2.9,77.158,3.702,0.121,0.086,0.13,0.008,0.337,0,0,0
2.925,76.802,3.686,0.121,0.085,0.129,0.008,0.335,0,0,0
2.95,76.442,3.67,0.121,0.085,0.127,0.008,0.333,0,0,0
2.975,76.079,3.654,0.121,0.084,0.126,0.008,0.331,0,0,0
3,75.712,3.638,0.121,0.083,0.125,0.008,0.329,0,0,0
